product_name,gst,hsn_code,company
NOVA JET PHOTO PAPER 132 GSM 50 SHEET,12 %,48101390,Shree Graphics
NOVA JET PHOTO PAPER 182 GSM 100 SHEET,12 %,48101390,Shree Graphics
NOVA JET PHOTO PAPER 182 GSM 50 SHEET,12 %,48101390,Shree Graphics
NOVA JET POTO PAPER 182 GSM A4 GPWR,12 %,48101390,Shree Graphics
NUMEXINK RED,12 %,32151910,Shree Graphics
OFFSET TWINKLE MAUVE 1KG,12 %,32151140,Shree Graphics
OIS PRNTG INK FLORAL BRILLIANT BLUE 1KG,12 %,32151140,Shree Graphics
O/S PRINTG INK BOOK BLACK 1 KG,12 %,32151140,Shree Graphics
O/S PRINTG INK POPULAR ROYAL BLUE 1 KG,12 %,32151140,Shree Graphics
O/S PRINTING INK NAVARATNA ORANGE-500GM,12 %,32151140,Shree Graphics
O/S PRNTG INK ARULJYOTHI ROYAL BLUE 1 KG,12 %,32151140,Shree Graphics
O/S PRNTG INK FLORAL ARJ ROYAL BLUE 1 KG,12 %,32151140,Shree Graphics
O/S PRNTG INK GOLDEN YELLOW 1 KG,12 %,32151140,Shree Graphics
O/S PRNTG INK LEMON YELLOW 500 GR,12 %,32151140,Shree Graphics
O/S PRNTG INK MCDOWELL BLACK (DIC) 1 KG,12 %,32151140,Shree Graphics
O/S PRNTG INK MINI OFSET GRAY 1 KG,12 %,32151140,Shree Graphics
O/S PRNTG INK NAVARATHNA TURQUIOSE BLUE 500 GR,12 %,32151140,Shree Graphics
O/S PRNTG INK NAVARATHNA VIOLET 1 KG,12 %,32151140,Shree Graphics
O/S PRNTG INK NAVARATNA ORANGE 500 GR,12 %,32151140,Shree Graphics
O/S PRNTG INK PANTONE MICRO REFLEX BLUE 1 KG,12 %,32151140,Shree Graphics
O/S PRNTG INK PHOTO BROWN 1KG,12 %,32151140,Shree Graphics
O/S PRNTG INK POPULAR ROYAL BLUE 1 KG,12 %,32151140,Shree Graphics
O/S PRNTG INK SAFFRON ORANGE 1 KG,12 %,32151140,Shree Graphics
O/S PRNTG INK SUPER WHITE 1 KG,12 %,32151140,Shree Graphics
PAPERGLOSSY,12 %,48101390,Shree Graphics
PAPER MATTY,12 %,480256902,Shree Graphics
PAPERONE100GSM12X18(P100B),12 %,48025690,Shree Graphics
PAPERONE 100GSM 13X19(P100A)48025690,12 %,48025690,Shree Graphics
PLASTISOL INK BLACK 1 KG,12 %,32151140,Shree Graphics
PLASTISOL INK GOLDEN YELLOW 1 KG,12 %,32151140,Shree Graphics
PLASTISOL INK NATIONAL RED 1 KG,12 %,32151140,Shree Graphics
PLASTISOL INK PEACOCK BLUE 1 KG,12 %,32151140,Shree Graphics
PLASTISOL INK TNP SUPER WHITE 1 KG,12 %,32151140,Shree Graphics
PLASTISOL INK TURQUIOSE BLUE 1 KG,12 %,32151140,Shree Graphics
PLSTISOL INK LEMON YELLOW 1 KG,12 %,32151140,Shree Graphics
POLY BOND DESSE BLACK 1 KG,12 %,32151140,Shree Graphics
POLY BOND INK P O RED 1 KG,12 %,32151140,Shree Graphics
POLY BOND INK RICH ROYAL BLUE 1 KG,12 %,32151140,Shree Graphics
POLY BOND OPAQUE WHITE 1 KG,12 %,32151140,Shree Graphics
